ID;point;Champion;victories;poles;Fastest lap;podium;entries;qualification;classified;CP (-),
1;1506;7;91;68;77;155;309;308;241;444,
2;660;0;11;14;17;68;326;325;227;-68,
3;1203;1;15;8;8;50;268;267;215;91,
4;1767;2;32;23;21;97;236;236;200;460,
5;950;0;11;16;16;39;212;212;179;-247,
6;535;0;13;12;18;62;247;247;169;-198,
7;246;0;1;4;1;11;256;256;167;12,
8;1024;1;20;17;39;77;213;212;167;124,
9;275;0;3;4;2;18;231;230;163;35,
10;1049;0;9;12;16;42;217;216;160;63,
11;768;0;51;32;40;106;202;201;143;223,
12;888;0;8;15;9;26;166;166;140;147,
13;263;0;0;1;2;13;185;184;138;64,
14;1487;2;33;38;19;70;148;148;128;99,
15;281;0;6;8;13;37;257;256;126;-3,
16;481;0;23;24;22;60;208;203;124;275,
17;384;0;10;12;21;48;210;209;124;-1,
18;329;0;6;6;8;27;181;180;121;0,
19;241;0;1;2;4;32;202;201;119;142,
20;1618;4;39;45;23;66;139;139;118;133,
21;610;3;41;65;20;80;162;160;108;263,
22;234;1;11;13;9;23;165;165;108;19,
23;270;0;14;13;10;36;179;171;102;98,
24;186;0;5;2;5;23;215;191;102;-3,
25;424;2;20;26;25;51;165;160;102;154,
26;480;1;31;32;30;59;191;186;98;-11,
27;76;0;1;0;0;5;158;158;98;91,
28;298;0;12;6;6;45;146;146;97;32,
29;132;0;3;1;1;15;164;161;97;62,
30;281;0;14;6;6;35;149;141;96;110,
31;173;0;3;2;6;18;161;157;96;143,
32;228;0;6;7;6;32;180;176;94;-5,
33;420;3;25;24;24;54;177;170;90;9,
34;97;0;3;0;0;7;165;162;90;-83,
35;169;0;5;2;5;20;154;151;89;43,
36;105;0;1;1;2;4;112;112;88;23,
37;123;0;0;0;1;0;128;128;88;32,
38;191;0;4;0;1;26;148;147;86;-104,
39;209;0;5;5;14;28;139;130;83;-74,
40;98;0;0;0;0;9;165;158;83;2,
41;181;0;7;18;12;22;165;149;82;8,
42;248;0;8;1;8;33;112;110;78;26,
43;246;0;10;3;5;33;113;106;77;-11,
44;360;0;22;20;19;42;122;116;77;38,
45;253;0;14;11;11;31;128;122;73;15,
46;206;0;10;14;9;26;123;119;71;88,
47;56;0;0;0;1;3;94;94;70;29,
48;59;0;0;1;1;5;214;208;69;42,
49;199;1;12;6;13;24;117;116;68;67,
50;71;0;0;0;2;4;162;148;67;81,
51;232;0;0;1;1;0;77;77;67;47,
52;181;0;8;13;14;25;122;113;66;5,
53;275;0;1;1;1;12;76;76;65;52,
54;71;0;1;0;2;8;114;104;64;-59,
55;42;0;0;3;3;3;143;136;64;52,
56;33;0;0;0;0;2;111;110;64;132,
57;188;0;4;0;2;27;104;101;63;37,
58;359;0;27;15;15;43;100;89;63;111,
59;180;1;12;18;10;19;131;127;62;41,
60;307;0;7;12;12;30;95;94;62;-17,
61;44;0;0;0;0;1;91;91;61;-37,
62;122;0;2;3;0;9;109;104;59;53,
63;159;1;5;5;3;17;128;110;59;72,
64;103;0;2;5;2;11;123;115;57;-57,
65;268;0;3;0;1;8;69;69;57;64,
66;188;0;0;0;3;4;76;76;57;-29,
67;35;0;0;0;1;1;107;106;56;1,
68;180;1;6;8;10;24;113;108;55;79,
69;70;0;0;0;0;9;143;132;55;-43,
70;18;0;0;0;0;0;124;119;55;110,
71;139;0;2;1;4;19;95;94;54;-9,
72;27;0;0;0;0;0;81;80;54;-11,
73;125;0;0;0;1;1;76;76;53;35,
74;68;0;2;2;4;6;100;95;52;-5,
75;49;0;1;0;0;1;77;77;52;-14,
76;39;0;1;1;1;1;109;99;51;-16,
77;83;0;0;5;3;11;108;96;51;48,
78;121;0;0;0;0;0;58;58;51;-15,
79;77;0;1;0;4;8;88;85;50;14,
80;17;0;0;0;1;0;88;82;50;-3,
